player_name,pitch_type,swings,avg_dev_bat_speed_z,avg_dev_attack_angle_z,avg_dev_swing_path_tilt_z,avg_dev_attack_direction_z
"Elder, Bryce",FF,135,0.114,0.22,0.042,0.108
"Rodón, Carlos",SL,404,0.114,-0.019,-0.019,0.013
"Uceta, Edwin",FF,246,0.114,-0.016,-0.003,0.196
"Kerkering, Orion",FF,162,0.113,-0.109,-0.093,-0.099
"Detmers, Reid",SL,167,0.113,0.286,0.077,0.26
"Mears, Nick",SL,191,0.113,-0.061,-0.21,0.019
"Rasmussen, Drew",FF,389,0.112,-0.063,0.069,0.002
"Gore, MacKenzie",CH,114,0.112,0.084,0.279,0.335
"Strahm, Matt",FF,187,0.112,0.223,0.142,0.351
"Boyd, Matthew",CH,333,0.112,0.115,0.077,0.279
"Rogers, Taylor",ST,183,0.111,0.237,0.106,0.145
"De los Santos, Yerry",SI,125,0.111,-0.047,-0.061,-0.108
"Whitlock, Garrett",SL,181,0.111,-0.008,-0.19,-0.066
"Martinez, Nick",SL,118,0.111,0.083,-0.096,0.044
"Fried, Max",FF,198,0.109,0.011,0.035,0.147
"Montero, Rafael",FS,143,0.109,0.004,-0.067,-0.024
"Lorenzen, Michael",SL,135,0.109,0.008,-0.018,0.089
"Skubal, Tarik",SI,337,0.108,0.075,0.132,0.092
"Walker, Ryan",SI,231,0.108,0.115,-0.034,0.06
"Burke, Sean",FF,505,0.108,0.024,0.085,0.083
"Englert, Mason",CH,119,0.107,0.036,-0.225,-0.045
"Duran, Jhoan",FF,223,0.104,0.092,-0.048,0.072
"Rodriguez, Eduardo",FF,525,0.104,0.0,0.007,0.042
"Peralta, Luis",FF,143,0.104,0.168,0.152,0.071
"King, Bryan",FF,320,0.103,0.039,-0.09,0.123
"Fisher, Braydon",SL,167,0.103,-0.066,0.105,0.074
"Wheeler, Zack",SI,186,0.102,0.024,0.077,-0.059
"Lugo, Seth",FF,185,0.101,0.247,0.023,-0.039
"Festa, David",CH,123,0.1,0.139,-0.131,0.001
"King, Michael",FF,130,0.099,-0.117,0.018,0.023
"Morejon, Adrian",SI,283,0.098,-0.041,-0.013,0.036
"Baz, Shane",FF,565,0.097,-0.043,-0.049,-0.024
"Romero, JoJo",ST,144,0.097,0.08,-0.053,-0.054
"Eisert, Brandon",FF,139,0.096,-0.012,0.182,0.092
"Mey, Luis",SI,113,0.096,-0.08,0.071,-0.091
"Wheeler, Zack",ST,139,0.094,-0.213,-0.019,-0.086
"Gómez, Yoendrys",FF,177,0.094,-0.105,0.155,-0.062
"Valdez, Framber",CU,286,0.093,-0.121,0.096,-0.048
"Skubal, Tarik",FF,544,0.093,0.066,0.003,0.218
"Ginkel, Kevin",FF,109,0.093,-0.045,0.172,0.117
"Stewart, Brock",FF,190,0.092,0.013,-0.072,-0.005
"Gore, MacKenzie",CU,220,0.092,-0.079,0.032,0.097
"Pivetta, Nick",FF,671,0.092,0.017,0.007,0.031
"Webb, Logan",SI,400,0.091,0.022,0.044,0.122
"Ferguson, Caleb",FC,109,0.09,0.106,0.07,-0.075
"Barnett, Mason",FF,112,0.09,-0.126,-0.154,-0.049
"Henry, Cole",FF,219,0.09,0.068,-0.091,0.048
"May, Dustin",FF,165,0.09,-0.125,0.069,0.032
"Bernardino, Brennan",SI,135,0.09,0.065,0.053,0.03
"Rogers, Trevor",SI,107,0.09,0.119,0.022,-0.015
"Akin, Keegan",SL,136,0.089,0.031,0.142,-0.09
"Vargas, Carlos",SI,329,0.089,-0.065,0.002,0.028
"Sabrowski, Erik",FF,158,0.088,-0.026,0.157,0.164
"Spence, Mitch",FC,231,0.088,-0.151,-0.047,-0.052
"Bello, Brayan",ST,186,0.088,0.059,-0.065,-0.006
"Wacha, Michael",CH,360,0.087,0.113,0.01,0.101
"Kremer, Dean",FC,225,0.087,-0.128,-0.197,-0.128
"Jax, Griffin",ST,179,0.087,0.232,0.054,0.12
"Flaherty, Jack",SL,285,0.086,-0.035,-0.086,-0.127
"Littell, Zack",SI,213,0.086,-0.109,0.291,-0.037
"Yamamoto, Yoshinobu",FF,420,0.086,-0.018,0.079,-0.061
"Estévez, Carlos",SL,135,0.085,0.234,-0.01,0.056
"Adam, Jason",SL,167,0.085,0.192,-0.112,0.344
"Cantillo, Joey",FF,277,0.085,0.178,0.049,0.145
"Iglesias, Raisel",FF,198,0.085,0.117,-0.053,0.093
"Lazar, Max",FF,160,0.084,0.107,0.025,0.03
