player_name,pitch_type,swings,avg_physics,avg_xwoba,whiff_rate,avg_launch_speed,avg_chase_deviation,outside_zone_pitches,raw_chase_rate,physics_z,chase_z,discomfort_score
"Bello, Brayan",CH,191,-0.8201,0.3031,0.2984,81.2924,-0.0063,272,0.3235,-1.2249,-0.2773,-0.0359
"Bello, Brayan",FC,181,-0.5671,0.3382,0.2431,85.3252,0.0048,156,0.2692,-0.8457,-0.0803,-0.0217
"Bello, Brayan",FF,210,0.0044,0.2514,0.1333,82.8458,0.0288,188,0.2553,0.0111,0.3437,0.0098
"Bello, Brayan",SI,375,-0.5711,0.3122,0.1067,85.6932,-0.0061,413,0.2349,-0.8516,-0.2738,-0.0272
"Bello, Brayan",ST,186,0.5363,0.3016,0.2688,80.3308,0.0027,250,0.312,0.8086,-0.1179,0.0154
"Bellozo, Valente",FC,193,-0.4033,0.3426,0.1554,81.9697,-0.0658,157,0.2102,-0.6001,-1.3269,-0.0506
"Bellozo, Valente",FF,185,0.067,0.4132,0.1243,82.9913,0.0139,172,0.2733,0.1049,0.0792,0.0046
"Bellozo, Valente",ST,109,-1.4917,0.2129,0.2294,80.2392,0.0249,98,0.3367,-2.2319,0.2739,-0.0439
"Bender, Anthony",ST,131,0.125,0.1933,0.2595,82.8856,-0.0323,145,0.2759,0.1919,-0.7357,-0.0159
"Bergert, Ryan",FF,267,-0.6357,0.309,0.1199,85.5833,0.0024,233,0.2232,-0.9485,-0.1239,-0.0253
"Bergert, Ryan",SL,142,-0.7951,0.2601,0.338,83.1047,-0.0266,180,0.2944,-1.1874,-0.6348,-0.0449
"Bernardino, Brennan",SI,135,0.5336,0.3111,0.0741,84.0752,-0.0233,130,0.2231,0.8046,-0.5777,0.0026
"Berríos, José",CH,229,-0.4242,0.2654,0.345,81.8261,0.0543,246,0.378,-0.6314,0.7933,0.0074
"Berríos, José",FF,194,-0.5624,0.3166,0.1134,85.4781,-0.0054,208,0.226,-0.8386,-0.2604,-0.0265
"Berríos, José",SI,325,-0.6561,0.3624,0.0831,85.653,-0.0442,380,0.2132,-0.9791,-0.9461,-0.0488
"Bibee, Tanner",CH,203,0.8069,0.2522,0.3596,77.9293,-0.0331,222,0.3063,1.2142,-0.7505,0.0072
"Bibee, Tanner",FC,287,0.0068,0.2543,0.2787,81.793,0.0094,274,0.2774,0.0147,0.0013,0.0004
"Bibee, Tanner",FF,344,-0.0798,0.3591,0.0988,85.4358,-0.0538,394,0.1701,-0.1152,-1.115,-0.0335
"Bibee, Tanner",SI,192,-0.0355,0.2589,0.0938,82.5877,-0.001,169,0.2485,-0.0488,-0.1836,-0.0062
"Bibee, Tanner",ST,174,0.1022,0.2447,0.3218,81.067,-0.0117,205,0.2976,0.1577,-0.3714,-0.0066
"Bido, Osvaldo",FF,246,-0.0997,0.378,0.1748,86.1665,0.002,247,0.2429,-0.1449,-0.13,-0.0069
"Bido, Osvaldo",SL,173,0.3519,0.3217,0.3179,84.0537,0.0248,182,0.3462,0.5322,0.2723,0.0198
"Bieber, Shane",FF,131,0.2877,0.3874,0.1908,85.8062,-0.0309,129,0.2093,0.4359,-0.7117,-0.0096
"Bieber, Shane",SL,112,-0.9366,0.2776,0.3929,83.6197,0.0389,115,0.3739,-1.3997,0.5209,-0.0179
"Bird, Jake",SI,134,-0.6419,0.3939,0.1418,87.2115,-0.061,128,0.1797,-0.9579,-1.2424,-0.0565
"Bird, Jake",ST,124,1.2983,0.2917,0.3306,78.4823,0.0272,132,0.3561,1.9509,0.3144,0.0537
"Birdsong, Hayden",FF,219,0.0401,0.2702,0.1826,83.6293,-0.0213,265,0.2151,0.0647,-0.5409,-0.0135
"Birdsong, Hayden",SL,137,-0.1036,0.2948,0.292,80.4789,0.0002,130,0.3308,-0.1509,-0.1622,-0.008
