batter,batter_name,pitch_type,pitches_seen,swings,avg_bat_speed,avg_swing_length,avg_attack_angle,avg_attack_direction,avg_swing_path_tilt,whiff_rate,called_strike_rate,hard_hit_rate,contact_swings,avg_launch_speed,avg_launch_angle,avg_xwoba,outside_zone_pitches,chases,batter_chase_rate
571448,"Abbott, Andrew",SI,297,126,71.238,8.028,6.298,-1.395,34.33,0.017,0.242,0.162,112,87.956,8.947,0.32,123,25,0.203
571448,"Abbott, Andrew",SL,302,149,68.178,8.789,13.655,-15.728,34.158,0.146,0.142,0.086,97,81.988,11.856,0.293,172,63,0.366
571448,"Abbott, Andrew",ST,149,72,66.296,8.649,12.943,-12.866,31.118,0.141,0.174,0.054,46,78.822,27.63,0.169,83,33,0.398
571657,"Boyd, Matthew",CH,95,49,67.843,7.466,20.98,-11.467,36.919,0.116,0.095,0.095,33,83.206,12.0,0.254,52,15,0.288
571657,"Boyd, Matthew",CU,58,30,64.834,7.176,19.317,-8.486,33.698,0.138,0.172,0.103,20,86.85,10.9,0.278,29,10,0.345
571657,"Boyd, Matthew",FF,410,191,63.801,6.206,4.65,11.713,30.983,0.078,0.234,0.071,147,83.739,26.272,0.33,165,41,0.248
571657,"Boyd, Matthew",SI,187,82,65.039,6.308,6.453,7.549,34.043,0.043,0.283,0.091,71,81.689,14.319,0.291,72,20,0.278
571657,"Boyd, Matthew",SL,157,83,65.672,7.298,18.88,-9.422,35.446,0.134,0.121,0.051,54,81.537,6.204,0.189,83,32,0.386
571657,"Boyd, Matthew",ST,102,45,65.034,7.275,18.912,-13.294,36.291,0.118,0.225,0.049,32,79.394,11.375,0.227,52,16,0.308
571771,"Sánchez, Cristopher",CH,121,70,70.797,7.968,14.742,-8.737,31.282,0.157,0.05,0.116,47,85.557,9.766,0.318,76,29,0.382
571771,"Sánchez, Cristopher",CU,101,49,67.657,7.722,14.176,-10.41,29.817,0.178,0.149,0.05,25,79.776,16.44,0.107,59,22,0.373
571771,"Sánchez, Cristopher",FC,73,33,70.036,7.364,7.245,0.296,29.076,0.082,0.233,0.11,26,86.085,26.962,0.501,31,11,0.355
571771,"Sánchez, Cristopher",FF,319,166,69.776,6.989,4.511,7.517,26.87,0.107,0.154,0.085,111,84.895,30.598,0.309,129,32,0.248
571771,"Sánchez, Cristopher",SI,213,102,68.691,6.956,3.058,10.532,30.277,0.085,0.216,0.085,73,84.762,17.699,0.285,96,31,0.323
571771,"Sánchez, Cristopher",SL,250,144,69.53,7.757,13.073,-10.495,30.469,0.204,0.08,0.072,85,82.955,18.047,0.211,135,50,0.37
571771,"Sánchez, Cristopher",ST,108,44,64.082,7.514,12.101,-11.052,28.36,0.167,0.157,0.019,22,75.182,31.773,0.232,70,20,0.286
571970,"Webb, Logan",CH,165,75,70.273,7.334,21.049,-8.029,35.46,0.17,0.097,0.079,39,83.954,8.436,0.409,106,35,0.33
571970,"Webb, Logan",CU,202,70,68.057,7.363,23.601,-11.895,35.955,0.114,0.188,0.05,41,81.307,-4.927,0.275,108,16,0.148
571970,"Webb, Logan",FC,184,76,68.412,6.571,13.643,4.007,34.395,0.06,0.179,0.082,58,83.874,24.712,0.332,91,14,0.154
571970,"Webb, Logan",FF,521,239,68.688,6.452,11.556,6.015,32.372,0.058,0.152,0.106,192,85.596,39.453,0.454,243,43,0.177
571970,"Webb, Logan",FS,85,38,71.681,7.461,23.838,-16.207,35.787,0.188,0.082,0.082,19,85.426,2.684,0.27,53,13,0.245
571970,"Webb, Logan",SI,213,84,69.332,6.475,9.472,7.058,34.224,0.047,0.235,0.117,68,86.318,16.809,0.493,91,9,0.099
571970,"Webb, Logan",SL,280,114,68.83,7.309,22.198,-12.615,36.167,0.125,0.182,0.079,68,84.574,10.456,0.266,138,29,0.21
571970,"Webb, Logan",ST,139,52,68.654,7.324,22.973,-11.696,36.695,0.144,0.158,0.072,29,88.431,14.931,0.303,78,18,0.231
572191,"Cantillo, Joey",CH,170,92,67.309,7.474,19.841,-12.779,32.847,0.294,0.076,0.053,33,79.945,16.0,0.195,110,43,0.391
572191,"Cantillo, Joey",CU,84,31,61.612,7.042,11.942,-16.935,34.141,0.131,0.131,0.036,18,78.206,9.722,0.213,49,12,0.245
572191,"Cantillo, Joey",FC,81,43,71.221,6.874,10.52,5.47,31.061,0.185,0.148,0.099,27,79.63,21.815,0.401,38,11,0.289
